"Self_agent","Self","Other_agent","Other","trial","Feedback_Self","agent"
"bias_detector_agent",1,"wsls_agent",1,114,1,1
"bias_detector_agent",1,"wsls_agent",0,115,0,1
"bias_detector_agent",1,"wsls_agent",1,116,1,1
"bias_detector_agent",1,"wsls_agent",0,117,0,1
"bias_detector_agent",1,"wsls_agent",1,118,1,1
"bias_detector_agent",1,"wsls_agent",0,119,0,1
"bias_detector_agent",1,"wsls_agent",1,120,1,1
"bias_detector_agent",1,"wsls_agent",1,1,1,2
"bias_detector_agent",1,"wsls_agent",0,2,0,2
"bias_detector_agent",1,"wsls_agent",1,3,1,2
"bias_detector_agent",1,"wsls_agent",0,4,0,2
"bias_detector_agent",1,"wsls_agent",1,5,1,2
"bias_detector_agent",1,"wsls_agent",0,6,0,2
"bias_detector_agent",1,"wsls_agent",1,7,1,2
"bias_detector_agent",1,"wsls_agent",0,8,0,2
"bias_detector_agent",1,"wsls_agent",1,9,1,2
"bias_detector_agent",1,"wsls_agent",0,10,0,2
"bias_detector_agent",1,"wsls_agent",1,11,1,2
"bias_detector_agent",1,"wsls_agent",0,12,0,2
"bias_detector_agent",1,"wsls_agent",1,13,1,2
"bias_detector_agent",1,"wsls_agent",0,14,0,2
"bias_detector_agent",1,"wsls_agent",1,15,1,2
"bias_detector_agent",1,"wsls_agent",0,16,0,2
"bias_detector_agent",1,"wsls_agent",1,17,1,2
"bias_detector_agent",1,"wsls_agent",0,18,0,2
"bias_detector_agent",1,"wsls_agent",1,19,1,2
"bias_detector_agent",1,"wsls_agent",0,20,0,2
"bias_detector_agent",1,"wsls_agent",1,21,1,2
"bias_detector_agent",1,"wsls_agent",0,22,0,2
"bias_detector_agent",0,"wsls_agent",1,23,0,2
"bias_detector_agent",1,"wsls_agent",0,24,0,2
"bias_detector_agent",1,"wsls_agent",1,25,1,2
"bias_detector_agent",1,"wsls_agent",0,26,0,2
"bias_detector_agent",1,"wsls_agent",1,27,1,2
"bias_detector_agent",1,"wsls_agent",0,28,0,2
