ID,FaceID,Trial_Round1,FirstRating,OtherRating,Trial_Round2,SecondRating,Feedback,Change,Class
10,75,14,6,8,24,6,2,0,1
10,76,157,4,0,257,7,-4,3,1
10,77,137,4,4,237,4,0,0,1
10,78,19,3,0,29,3,-3,0,1
10,79,135,6,6,235,5,0,-1,1
10,8,127,3,3,227,4,0,1,1
10,80,179,3,6,279,3,3,0,1
10,81,118,3,1,218,3,-2,0,1
10,9,155,2,2,255,3,0,1,1
11,10,146,3,6,246,6,3,3,1
11,11,133,4,0,233,4,-4,0,1
11,12,180,4,6,280,6,2,2,1
11,13,156,3,5,256,3,2,0,1
11,14,116,2,5,216,2,3,0,1
11,15,172,3,5,272,3,2,0,1
11,16,119,4,6,219,4,2,0,1
11,17,18,3,3,28,3,0,0,1
11,18,169,6,6,269,8,0,2,1
11,19,163,6,8,263,3,2,-3,1
11,2,128,4,6,228,4,2,0,1
11,20,120,7,4,220,6,-3,-1,1
11,21,13,1,4,23,1,3,0,1
11,22,176,1,1,276,2,0,1,1
11,23,173,5,0,273,6,-5,1,1
11,24,155,3,3,255,6,0,3,1
11,25,114,4,4,214,4,0,0,1
11,26,141,6,0,241,8,-6,2,1
11,27,159,2,4,259,1,2,-1,1
11,28,14,7,7,24,4,0,-3,1
11,29,148,6,8,248,7,2,1,1
11,3,138,5,3,238,4,-2,-1,1
11,30,131,4,4,231,5,0,1,1
11,31,158,6,6,258,6,0,0,1
11,32,136,4,7,236,4,3,0,1
11,33,130,3,5,230,2,2,-1,1
11,34,125,3,0,225,4,-3,1,1
11,35,17,7,4,27,5,-3,-2,1
11,36,150,1,4,250,2,3,1,1
11,37,19,5,0,29,4,-5,-1,1
11,38,161,1,1,261,1,0,0,1
11,39,16,5,5,26,4,0,-1,1
11,4,171,5,2,271,6,-3,1,1
11,40,145,1,1,245,2,0,1,1
11,41,157,6,0,257,4,-6,-2,1
11,42,115,2,2,215,4,0,2,1
11,43,142,3,6,242,4,3,1,1
11,44,152,6,8,252,3,2,-3,1
11,45,117,4,0,217,5,-4,1,1
11,46,139,4,4,239,7,0,3,1
11,47,127,6,6,227,7,0,1,1
11,48,153,3,5,253,2,2,-1,1
11,49,121,4,6,221,2,2,-2,1
11,5,174,3,1,274,3,-2,0,1
11,50,11,4,0,21,4,-4,0,1
11,51,15,4,2,25,1,-2,-3,1
11,52,147,2,4,247,2,2,0,1
11,53,175,6,6,275,6,0,0,1
11,54,168,4,4,268,7,0,3,1
11,55,177,4,1,277,4,-3,0,1
11,56,126,8,5,226,8,-3,0,1
11,57,164,4,2,264,3,-2,-1,1
11,58,166,2,2,266,2,0,0,1
11,59,132,5,3,232,4,-2,-1,1
11,6,118,1,3,218,2,2,1,1
11,60,124,4,7,224,4,3,0,1
11,61,112,6,6,212,6,0,0,1
11,62,160,2,2,260,1,0,-1,1
11,63,123,5,8,223,7,3,2,1
11,64,151,2,2,251,5,0,3,1
11,65,167,3,3,267,5,0,2,1
11,66,178,2,5,278,5,3,3,1
11,67,110,7,4,210,6,-3,-1,1
11,68,144,2,4,244,3,2,1,1
11,69,129,5,7,229,5,2,0,1
11,7,165,4,0,265,2,-4,-2,1
11,70,162,4,7,262,7,3,3,1
11,71,170,4,4,270,8,0,4,1
11,72,12,2,2,22,2,0,0,1
11,73,140,5,3,240,3,-2,-2,1
11,74,113,7,4,213,7,-3,0,1
11,75,149,6,0,249,5,-6,-1,1
11,76,154,4,4,254,6,0,2,1
11,77,134,6,8,234,6,2,0,1
11,78,122,2,5,222,3,3,1,1
11,79,143,4,7,243,5,3,1,1
11,8,137,4,2,237,7,-2,3,1
11,80,179,6,6,279,6,0,0,1
11,81,111,4,6,211,3,2,-1,1
11,9,135,4,4,235,2,0,-2,1
12,10,138,6,6,238,7,0,1,1
12,11,153,3,1,253,4,-2,1,1
12,12,125,4,0,225,3,-4,-1,1
12,13,161,1,3,261,2,2,1,1
12,14,131,4,1,231,3,-3,-1,1
12,15,171,4,2,271,4,-2,0,1
12,16,127,1,4,227,2,3,1,1
12,17,162,5,2,262,3,-3,-2,1
12,18,148,3,5,248,7,2,4,1
12,19,16,8,8,26,7,0,-1,1
12,2,180,6,8,280,5,2,-1,1
12,20,129,7,5,229,8,-2,1,1
12,21,155,2,4,255,2,2,0,1
12,22,136,1,4,236,1,3,0,1
12,23,11,6,0,21,5,-6,-1,1
12,24,144,6,4,244,7,-2,1,1
12,25,135,8,8,235,7,0,-1,1
12,26,113,8,5,213,8,-3,0,1
12,27,163,2,4,263,3,2,1,1
12,28,123,6,6,223,7,0,1,1
12,29,142,8,5,242,8,-3,0,1
12,3,166,6,4,266,6,-2,0,1
12,30,156,5,8,256,5,3,0,1
12,31,122,3,6,222,1,3,-2,1
