Education,Year,ID,Framing,BotStrategy,Trial,Decision,BotDecision,Payoff
Design,2019,dp5dptqn,Human,WSLS,6,1,0,-1
Design,2019,dp5dptqn,Human,WSLS,7,1,0,-1
Design,2019,dp5dptqn,Human,WSLS,8,0,0,1
Design,2019,dp5dptqn,Human,WSLS,9,0,1,-1
CogSci,2019,ezfvh1yd,Human,WSLS,1,0,0,1
CogSci,2019,ezfvh1yd,Human,WSLS,10,0,0,1
CogSci,2019,ezfvh1yd,Human,WSLS,11,1,1,1
CogSci,2019,ezfvh1yd,Human,WSLS,12,0,0,1
CogSci,2019,ezfvh1yd,Human,RS,13,0,1,-1
CogSci,2019,ezfvh1yd,Human,RS,14,0,1,-1
CogSci,2019,ezfvh1yd,Human,RS,15,1,0,-1
CogSci,2019,ezfvh1yd,Human,RS,16,0,1,-1
CogSci,2019,ezfvh1yd,Human,RS,17,1,0,-1
CogSci,2019,ezfvh1yd,Human,RS,18,1,0,-1
CogSci,2019,ezfvh1yd,Human,RS,19,1,0,-1
CogSci,2019,ezfvh1yd,Human,WSLS,2,0,1,-1
CogSci,2019,ezfvh1yd,Human,RS,20,1,0,-1
CogSci,2019,ezfvh1yd,Human,RS,21,1,0,-1
CogSci,2019,ezfvh1yd,Human,RS,22,0,1,-1
CogSci,2019,ezfvh1yd,Human,RS,23,1,0,-1
CogSci,2019,ezfvh1yd,Human,RS,24,0,1,-1
CogSci,2019,ezfvh1yd,Human,WSLS,3,0,1,-1
CogSci,2019,ezfvh1yd,Human,WSLS,4,1,1,1
CogSci,2019,ezfvh1yd,Human,WSLS,5,1,0,-1
CogSci,2019,ezfvh1yd,Human,WSLS,6,0,0,1
CogSci,2019,ezfvh1yd,Human,WSLS,7,0,1,-1
CogSci,2019,ezfvh1yd,Human,WSLS,8,0,1,-1
CogSci,2019,ezfvh1yd,Human,WSLS,9,1,1,1
Linguistics,2019,jgftkx1v,Human,WSLS,1,0,1,-1
Linguistics,2019,jgftkx1v,Human,WSLS,10,0,0,1
Linguistics,2019,jgftkx1v,Human,WSLS,11,1,1,1
Linguistics,2019,jgftkx1v,Human,WSLS,12,0,0,1
Linguistics,2019,jgftkx1v,Human,RS,13,1,0,-1
Linguistics,2019,jgftkx1v,Human,RS,14,1,0,-1
Linguistics,2019,jgftkx1v,Human,RS,15,0,1,-1
Linguistics,2019,jgftkx1v,Human,RS,16,1,0,-1
Linguistics,2019,jgftkx1v,Human,RS,17,0,1,-1
Linguistics,2019,jgftkx1v,Human,RS,18,0,1,-1
Linguistics,2019,jgftkx1v,Human,RS,19,1,0,-1
Linguistics,2019,jgftkx1v,Human,WSLS,2,0,1,-1
Linguistics,2019,jgftkx1v,Human,RS,20,1,0,-1
Linguistics,2019,jgftkx1v,Human,RS,21,1,0,-1
Linguistics,2019,jgftkx1v,Human,RS,22,1,0,-1
Linguistics,2019,jgftkx1v,Human,RS,23,1,0,-1
Linguistics,2019,jgftkx1v,Human,RS,24,0,1,-1
Linguistics,2019,jgftkx1v,Human,WSLS,3,1,1,1
Linguistics,2019,jgftkx1v,Human,WSLS,4,1,0,-1
Linguistics,2019,jgftkx1v,Human,WSLS,5,1,0,-1
Linguistics,2019,jgftkx1v,Human,WSLS,6,0,0,1
Linguistics,2019,jgftkx1v,Human,WSLS,7,1,1,1
Linguistics,2019,jgftkx1v,Human,WSLS,8,0,0,1
Linguistics,2019,jgftkx1v,Human,WSLS,9,1,1,1
Religion,2019,keg6gw9g,Human,WSLS,1,1,0,-1
Religion,2019,keg6gw9g,Human,WSLS,10,1,1,1
Religion,2019,keg6gw9g,Human,WSLS,11,1,0,-1
Religion,2019,keg6gw9g,Human,WSLS,12,0,0,1
Religion,2019,keg6gw9g,Human,RS,13,1,0,-1
Religion,2019,keg6gw9g,Human,RS,14,0,1,-1
Religion,2019,keg6gw9g,Human,RS,15,0,1,-1
Religion,2019,keg6gw9g,Human,RS,16,1,0,-1
Religion,2019,keg6gw9g,Human,RS,17,0,1,-1
Religion,2019,keg6gw9g,Human,RS,18,1,0,-1
Religion,2019,keg6gw9g,Human,RS,19,0,1,-1
Religion,2019,keg6gw9g,Human,WSLS,2,0,0,1
Religion,2019,keg6gw9g,Human,RS,20,1,0,-1
